Account,Token Account,Quantity,Percentage
Fc1xKPgXWzxchNMM1UAwiLw5oPfr8Dgv7MBcNHubtVYR,GLsbSqk9ERRu1vDiwZgRHEq8fiM1GmEcYa9622qfLXrn,2948143.54962,0.29
2krhCgFwtMtkSuDcvyAeLcSNVSyVvURwBohqRxTDRVeM,FGrZbe6NXkCLRDaW2k1UkjWcezeGevV4S89SWURu26ra,2909176.09278,0.29
5Ks9BsrTPLJnX2p18ou6NPbY3htWKdxQ6NYSrCynuY2D,AzQ8LNdonhoJaa16f4LMz53gYs8SSRU21hzBa9ZsEzS,2714175.783924,0.27
33n2QkGCwv3RhLJrBq31QSAdpVa91rmnvx938ot7kVX6,CqHNXoY6fLE6tTeFMJpHrAQeqVTDNSQD35NN1pjN4gTo,2686578.926586,0.27
4yZjvabxeQWk2tYd49Z4RBH3RDXR4hMGMUZ7fhdnDgY1,AiuPzUJbYr9BA2uRiBFSjPQCbpgFHgUqqw7LhZA2sa9g,2613589.235607,0.26
7DDMYMDbMi4efCAbwCH57uGgCKBPDHkUQtdb2ve2ZpNm,HydwXcJJsMPeunNyWWpxBKf4xzam2YoswGPcoFR2XxiG,2500000,0.25
GsizVwmnw1XapdUikLa5UQVpHyjoc1jhTKVf4B969SQy,7HYNELiYudY7m4UF6wQwT28ko4L98onnD9DDqHFDmiFg,2381443.220749,0.24
6tBdta3CmchF3ypuSawzY8bVgdUfioQ4P5EXDWXQ8SGy,3odwPbaVFmfzdNQaSvJESqWHK11XV7kozqkL1VNuVXM5,2184088.074042,0.22
5MdmYZMFkSARuoPQyMoruwvSQVPxKGgEJipruwcxp5nq,AKhrTXRk5rNM7KHpZ3MHanG1NFEeW9cYyg1Lni7NMicj,2112229.718496,0.21
CCQNECDxxRYiuiYCLy5hUtXSUisoMC4Wi9GNMmUEPdfx,3nEhH6vde1yLbavMeCS5rTicT8LKswyBSNpWs17RW7tY,2014466.061927,0.20
G5ybjffBfD7juCzYxxFR8H7A8qc75ofgj9a918YVcUcZ,AvaxFGfVghciDTxVQmE3YdaJXqEafVVcwUJEU4MebVy7,1854468.797139,0.19
Czi19doRewc3VG8Q57hVRi6F2NRzs8MGKUwPr7uZbzH9,HxVcfeK1t2fvUTdFggNiNcm3KYSikCetBJAGFB1NGuHz,1813141.507823,0.18
wQxK1btKmQfHFAiapqe7B7jRYoykBmLedmnH4JzcvZo,CXN8QP8Y5vxUzuVSXR4RCH8sbshGYdKJ4Ban8aE5Mrv,1677562.970637,0.17
4pPrqq1kN8hZw98BdGvB4QKU8LFwazTM9mgrpCC6Dwqp,BhgCkbAQttucagBzznGGaqDsPQMpjvHs8seeiFP9TWi6,1646088.997902,0.16
1f2kbCpezrEFUMgjjyruGQW6JeQnXXj8fJfYzdFmYgB,DJZuPcU8VkxpxpbkBsqzQXdDePxbSjYRkJC1pubZ21aM,1483503.416526,0.15
2NCDJokZSQsoEMQ6f3EPwPmQc1DwV6Xy9qjx9ikZjfD5,AmbkQLm6VJSeNhiwvyXKTnEtbeCZ2KZ3xGUZPRt4XXuz,1437984.968915,0.14
3VpgeEznWNQ2Sf5KCZjBQ2oudQaTuLP992GKRgUP4K5x,DhQA6YhfEF1R9ZHYwUetivFEoBiGTJ3JbR9qnQfkY6tf,1351580.721544,0.14
Ef2o4BE6EDhFBMjxxK9VUrDeR4ECvwKavHKsQ18eHCKs,3E8cxa1Bv9RnmAsqHLtK2k2qcKvDLhX3eNWVJu2Pzdgj,1338380.120478,0.13
GWwF7NNTpDG9tV7uuCAaZa3T8Cyb7cXgoNaeaGe43XNe,a5ybwdYKb8KHnVEU1D1K64jA238BHZdDHH4ReB1GAHZ,1245869.630646,0.12
CespGuzGYZ2DdpHZJc9kgkD2CBkWj7bp2oy74kXzNsMB,DJkkrSggniGJktUxD9e5CLLDPxCWNq26D5A8NpoFXrgg,1115711.799849,0.11
3HcweksMemRKhSv1rgWB5y85sFnJoT2eR7p6jmzfZdM4,CSoYVe3DGiHFPWPDHTUfDSMgLBCGvSm7fRhZz7yaymRP,1067961.575852,0.11
3ZPfcDpBYzU4rgmtkduNfYb12LhnS2sJodYLQ6YKJvqf,BYByFkivwbRn4uHWbpuR7pZ9sp7G3xK8M7nWUAQTGLM7,886319.441632,0.09
2fwusLFKqwGgWsXEcBdq1j5G4gwuwYhQ3q4oPdmfyfc8,Db85FSzp7WJvKUiZm73QqMNTkZ8uC7PJkj47PeaCAnZd,873958.095057,0.09
3h42omYz8KAXMkmFaRXBkBaocsy1RTew7vRz7oW54Xv6,2y3WzNyok1qxdJNQREymGaG4APYD85xc77ELdwH1dvHw,850784.808028,0.09
6KsuCoMQzD2nqzF5wv1EzLHuYpdEvGWEPV1qk85veipG,BuSTJuTaxtv4MeKMNgbuMb4FxptA1YhMXryiCimbXnbf,750988.664648,0.08
5ZsTDDk2KyCsdA51rgdbBwbbqAn1Wxgy9Y9ZTRKL8XHg,AZcpt9eXfL5jnMqngiMjm2dAcMwRM6o8MjfPDUMLJeci,742924.404666,0.07
bk4ssU6EQmTxqntLbKE3w61HnvAPXidoUNUNoQFptQS,2yPtym3G3sZA9K4eXZzxWj8E86NToaCDh4xbAcWvRr7M,662769.023314,0.07
85nhNGFKHHpmikVdvbZdjAKHDMJxDZzaGWXsN21khCN1,8W1XaCFkG7iUKBXMkYkQJZuWo3DuSDumvMrr3G413UAr,600000,0.06
EBWxz1Bkmn5etmqjc9YRviXmt1rb3KyCABYRVoTSCRXf,7HUwM5f1yn6TaCuMYvEFfXrocpxxA7nYAcqeVEi7k8r6,493891.7726,0.05
wXzwH8JuWuZJ68AjfUVL3Gb8gpXRQZXyUxce3hyiwga,DDsPRgsNKwTZwraHt5PVPkdC4mWUp1EfjpEn1kDTWvi7,487978.251069,0.05
13379TzUnsQQqhu6KfmGAvbjn5PytF8wzFWQbARMPfTA,8JxS1qBG1WfCAL4NF6G8RDazWq55rR9qq8eLscRbt7A7,422819.458176,0.04
73dVpXcWem7PF8DrLgjpfsd7ZftRG8wHjiY8d7vRSgdG,3tqMDrgyz2ECRunyjfPUReLS9jPRhgX1htEaHDzPyXf1,369716.069168,0.04
J2EqpbhGecH62EKnENL4icACtn9NzPPzokVqB8nscCgu,4KYiU1C8igph6Zh8nqYcxH6TfYcNgsQ7uAtqWVwXzHBf,356486.296601,0.04
6yVZwRLrMVVuSkMwtAEC976huEmGJ69nojtA3jdpLJVR,9R3QS9FxoE4xEfmA3uZfGoSsumqj96sSb3EFiGVDYa9,315315.409876,0.03
6TwXThzTTdPFacbgyST6pHZ1Hm1fKKKHUL6sAW5qYR6N,FKQ2edHgjNZjSYQvC8srfuwRL3DmjbeUoNzMNNw6p32L,305790.529368,0.03
FsWHrqYVfesjGDu4XVWFaiuL19WNJWK3Y7ntBLNkA2nW,5xMS4svyi47qv1dc7BEWbCZg9eHTaY9i1ez7JLAVD9N3,299936.190006,0.03
9MEiLuNSvtCNt9QD8Gp6KCdkCgqQjuPLVoMaTUMwTjtQ,FMdiYagdkC3psptP7MF9YXSmzUfc9Je86V44WAvXiMQ1,297276.30788,0.03
4cLUBQKZgCv2AqGXbh8ncGhrDRcicUe3WSDzjgPY2oTA,96BsbmbfH9PdgoR3gz8UhUJgt4fqEKDxSDro3g3pYHGh,269681.620344,0.03
5s4VqStnisSeku6YQcQc9vUKqYkeyuFP6uxFJewoe7nn,9i7ARRc7GUCWQPvh5WFFy8mMyM1iibcrbTGig3Ax1U5c,258041.09093,0.03
CiNYTDzJoYxFVMpMGv9gp9vyLVcLC5rvuaf4c4ytEzka,61jtwYBeLSYqVbHv6AR4aTFbubZXde6FxqEeDAizmYHx,246590.526809,0.02
78SDAd8GZnebp4j35bA9vZYHhQUJKi9BfF54tdeWre5W,58tHdkEF4eaVVJegJKFf1J9zYNVXUHSyC84YphGiJAeZ,235339.166386,0.02
8bXf8Rg3u4Prz71LgKR5mpa7aMe2F4cSKYYRctmqro6x,Cgx3eiKVtCdxRZFfyjyMcdc7ZmCW2Z3aiaQKPEjx5evk,215583.615645,0.02
EnLE3CmmbZ3hw3kdbMZwZkpgfudF99cLcaZR1mZLQZLM,4oy55keavDycKvyBb1x7Ho4WKYgnEZpFoe3NG8gaa9Sp,197573.459073,0.02
8iJVdgSEGP5hatu9uYcBy9gAiEdynnGxKfNe5dBPR3Wd,B3zR3ThHHUa6cmTUFjWXTRmpi1p7XkV7dATqJirEAvDU,196596.474046,0.02
DU6RiP1wYWXB84h4rj7J3aVBifyJYRd5kB8tz12eD4gU,EWgD9QBYVtcaaK5XNP2uDQop8fouy8Lna8yv6qfeXhLy,186136.518302,0.02
8qsGN3AhCjhWjvmu4jxkjmxuZECMXp36Fj7ogJ5EKPrA,7WGWuwVoG6wAquwEihzMaiyrBHjM1s49Yw3oYzth4DGq,156620.862122,0.02
9rdqDAcKRofzggN8s5862ZDKqhRmbm9s6XYMZZUDNBUa,CkDxH7XTATpWfdq3LHdGEJmyyAmRTMFbKSDnndc3dwoN,146710.699747,0.01
8JaHxpQkVRdtojyqQHYV6N5NDw4T8npCwkKsaFC5Phoz,ELbxZUodbzVv9YCBzDmpCES1MwhTkuRNnbqbQDu6ruK9,146285.258936,0.01
7GDP2ZgmfwEUbXnFVXA5bKu18h3D2DA1dxc1T9eRj3kR,7SHf5YS1YVchD9XXk98aPu8j9pvGJP578jXSzzKtUuy,124232.47939,0.01
9hZNLCDpuW9PmrNXaBQ71xiJb5EVARZvPXGnmETSSsYn,Gm7oaRGtCaQaea4NmZKxAKRsr753XQWBZGmzaY5hCiVv,101207.875227,0.01
Gv6JcoqRPFTAGxtebZ6vbxAYbnKYj7zAScg8Nt4P7Mbs,8WU8VVAJJJT8oa5RnLnZ2QijmAVbdFrspn5WghG5JgNd,100668.818848,0.01
Fn76QEihtJ4unQKsHb9Aisi518RbUCPxaCB753Y5qVEi,9MdaFhczN9FQcXU2d3tpBKHSH5sJTBwU5JBXdJw8byck,90677.732736,0.01
DrZoNFfuL6upMvC21Hs5gnksH5PB442jr14DPTWshfid,FBj8iQw164YtdFif4C5q6ZjHCLmVkJuT8Uofp4AVEyqD,80807.427245,0.01
8Q1iqCbCXiqwCBbMaYr5vTNbLhz5RhTtJhSxJuyLJKbG,5VvdPQa2w5T1cnYs8oLvJqFWyDoJfU3xTBw1dyuV6oTH,75310.724006,0.01
GnD6NTYH6jzWwzqucoMDe93iypsznhY9HxfuZHx1z5a3,J9S1cXcDy9UHW9Jz56KjNu4Z6RmDHYCpBh8fjc8pFAoL,67886.503285,0.01
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,J1FLPuYFnKmiL4y4MSU6rCaBZx1C2rYYYAcjVCK2TbNi,59672.242731,0.01
28ZmUoD61QzjXGTjWEsoaWWoDvZ6NZGFgvxBTBeTTsm6,GXiS7w9FTopqBgjBCZ9kp5eDBT6uZKBTKtLW2kE8Lp4,57827.295505,0.01
HU73r8Sq7CTZhDm4WE37ppr4yerZY1qDhNXXPj8HyRYh,6pa6AjkErkT9bhGnKmzEDHMkuKYC1XGuCWLywJj3tMo9,53241.474388,0.01
